# Das ist die editier- sowie erweiterbare Liste der DOKs
# für die Verwendung durch OVJ
# Stand: 6.3.2010

#Ortsverbände im DARC Distrikt Baden (A)

Konstanz (A01)
Bruchsal (A02)
Baden-Baden (A03)
Bühl (A04)
Freiburg (A05)
Heidelberg (A06)
Karlsruhe (A07)
Lahr (A08)
Dreiländereck (A09)
Mannheim (A10)
Offenburg (A11)
Pforzheim (A12)
Hochrhein-Klettgau (A13)
Schwarzwald (A14)
Renchtal (A15)
Emmendingen (A16)
Bad Säckingen (A17)
Furtwangen (A18)
Odenwald (A19)
Weinheim (A20)
Hochschwarzwald (A21)
Kraichgau (A22)
Alte Grafschaft Wertheim (A23)
Ettlingen (A24)
Singen (A25)
Rastatt (A26)
Pfinzgau (A27)
Haslach/Kinzigtal (A28)
Buchen (A29)
Kehl (A30)
Überlingen (A31)
Waldkirch (A32)
Kaiserstuhl (A33)
Titisee (A34)
Durlach (A35)
Walzbachtal Bretten (A36)
Wiesental (A37)
Altlußheim (A39)
Rheinstetten (A40)
Ladenburg (A41)
Eberbach (A43)
Markdorf (A44)
Madonnenland (A45)
Tauber-Franken (A46)
Markgräflerland (A47)
Pfullendorf (A48)
Murgtal (A50)
Baar (A52)
Philippsburg (A53)


#Ortsverbände im DARC Distrikt Franken (B)

Fürth (B01)
Ansbach (B02)
Marktredwitz (B03)
Aschaffenburg (B04)
Bamberg (B05)
Bayreuth (B06)
Kulmbach (B07)
Erlangen (B08)
Hof/Saale (B09)
Bad Neustadt/Saale (B10)
Nürnberg-Süd (B11)
Hersbruck (B12)
Schwabach-Roth (B13)
Schweinfurt (B14)
Selb (B15)
Neustadt/Aisch (B16)
Würzburg-Nord (B17)
Würzburg (B18)
Coburg (B19)
Weissenburg (B20)
Kronach (B21)
Feuchtwangen (B22)
Naila (B23)
Miltenberg (B24)
Nürnberg-Nord (B25)
Forchheim (B26)
Höchstadt/Aisch (B27)
Lichtenfels (B28)
Ochsenfurt (B29)
Schwarzachtal (B30)
Uttenreuth (B31)
Pegnitz (B32)
Eckental (B33)
Lauf (B34)
Main-Spessart (B35)
Ebrachtal (B36)
Hassberge (B37)
Fränkische Schweiz (B38)
Helmbrechts (B39)
Herzogenaurach (B40)
Eichstätt (B41)
Bad Kissingen (B42)
Hohe Rhön (B43)


#Ortsverbände im DARC Distrikt Oberbayern (C)

Vaterstetten (C01)
Waldkraiburg (C02)
Garmisch-Partenkirchen (C03)
Freising (C04)
Ingolstadt (C05)
Dachau (C06)
Isarwinkel (C07)
Oberland (C08)
München-Land (C09)
Hausham (C10)
München-Ost (C11)
München-Nord (C12)
München-West (C13)
Rosenheim (C14)
Inn-Salzach (C15)
Traunstein (C16)
Würmsee (C17)
München-Süd (C18)
Moosschwaige-Germering (C19)
Pfaffenwinkel (C20)
Landsberg/Lech (C21)
Pfaffenhofen/Ilm (C22)
Ammersee (C23)
Ebersberg (C24)
Erding (C25)
Eching (C26)
Berchtesgadener Land (C27)
Fürstenfeldbruck (C28)
Wasserburg/Inn (C29)
Würmtal (C30)
Mangfalltal (C31)
Ismaning (C32)
Isartal (C33)
Alztal (C35)
Schongau (C36)
Herrsching (C37)


#Ortsverbände im DARC Distrikt Berlin (D)

Charlottenburg (D01)
Kreuzberg (D02)
Neukölln (D03)
Reinickendorf (D04)
Schöneberg (D05)
Spandau (D06)
Steglitz (D07)
Tempelhof (D08)
Tiergarten (D09)
Wedding (D10)
Wilmersdorf (D11)
Zehlendorf (D12)
Märkisches Viertel (D13)
Lichtenrade (D14)
Prenzlauer Berg 1 (D15)
Pankow (D16)
Berlin-Mitte (D17)
Friedrichshain (D19)
Hohenschönhausen (D20)
Köpenick (D21)
Freunde des CCC (D23)
BIG-ATV (D24)
Treptow (D25)
Lichtenberg (D26)
Marzahn-Hellersdorf (D27)


#Ortsverbände im DARC Distrikt Hamburg (E)

Cuxhaven (E01)
Hamburg (E02)
Lübeck (E03)
Stade (E04)
Lüneburg (E05)
Sachsenwald (E06)
Harburg (E07)
Bad Oldesloe (E08)
Ahrensburg- Großhansdorf (E09)
Welcome Point (E10)
Bäderstrasse (E11)
Norderstedt (E12)
Hamburg-Alstertal (E13)
Hamburg-Ost (E14)
Pinneberg (E15)
Hamburg-Nord-West (E16)
Tostedt (E17)
Bergedorf (E18)
Buxtehude (E19)
Insel Helgoland (E20)
Buchholz (E21)
Süderelbe (E22)
Trave (E23)
Barger Au (E24)
Bargteheide (E25)
Oberalster (E26)
Hamburg-Flughafen (E27)
Hammonia (E28)
Teufelsbrück (E29)
Herzogtum Lauenburg (E30)
Hamburg-Eilbek (E31)
Wingst (E32)
Winsen/Luhe (E33)
Lüneburg-Ilmenau (E34)
Scharbeutz (E35)
Vierlande (E36)
Finkenwerder (E37)
Süd-Stormarn (E38)
Ratzeburg (E39)


#Ortsverbände im DARC Distrikt Hessen (F)

Arolsen (F01)
Bergstrasse (F02)
Darmstadt (F03)
Gelnhausen (F04)
Frankfurt (F05)
Fulda (F06)
Gießen (F07)
Groß-Gerau (F08)
Hanau (F09)
Hoher Meissner (F10)
Bad Homburg (F11)
Kassel (F12)
Kronberg (F13)
Limburg (F14)
Marburg (F15)
Rüsselsheim (F16)
Wetterau (F17)
Usingen (F18)
Wetzlar (F19)
Wiesbaden (F20)
Ederbergland (F21)
Idstein (F22)
Offenbach (F23)
Lampertheim (F24)
Lauterbach (F25)
Dillkreis (F26)
Main-Taunus (F27)
Eschwege (F28)
Dreieich (F29)
Heusenstamm (F30)
Nidderau (F31)
Hersfeld-Rotenburg (F32)
Vogelsberg (F33)
Schwalm-Knüll (F34)
Mümlingtal (F35)
Melsungen (F36)
Rheingau (F37)
Seligenstadt (F38)
Ober-Ramstadt (F39)
Großkrotzenburg (F40)
Baunatal (F41)
Griesheim (F42)
Eschborn (F43)
Rhein-Main (F44)
Babenhausen (F45)
Weilburg (F46)
Korbach (F47)
Hattersheim (F48)
Frankfurt-West (F49)
Überwald (F50)
Wächtersbach (F51)
Bad Wildungen (F52)
Taunusstein (F53)
Rodgau (F54)
Alsfeld (F55)
Gross-Umstadt (F56)
Frankfurt-Nord (F57)
Wiesecktal (F58)
Muehlheim (F59)
Gernsheim (F60)
Niddatal (F61)
Büdingen (F62)
Steckelsburg (F63)
Schiffenberg (F64)
Rodenbach (F65)
Weiterstadt (F66)
Aulatal (F67)
Münster-Hessen (F68)
Bad Hersfeld Stadt (F69)
Fritzlar (F70)
Butzbach (F71)
Vorder-Rhön (F72)
Vellmar (F73)
Dornburg (F74)
Schöneck (F75)
Baunsberg (F76)


#Ortsverbände im DARC Distrikt Köln-Aachen (G)

Aachen (G01)
Alsdorf (G02)
Bonn (G03)
Düren (G04)
Eschweiler (G05)
Euskirchen (G06)
Gummersbach (G07)
Bonn-Bad Godesberg (G08)
Bad Honnef (G09)
Köln (G10)
Leverkusen (G11)
Porz (G12)
Selfkant (G13)
Herzogenrath (G14)
Siegburg (G15)
Jülich (G16)
Roesrath (G17)
Rurland (G18)
Bergisch Gladbach (G19)
Bergheim/Erft (G20)
Dormagen (G21)
